"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"10789 Mikeread (1991 VL10)","04:54:21.32","+20 01'53.1""","2.0e+4","1.0e+4","2.0e+4","19.0","1.7e+1","2.9e-1","10789","a0010789"
"10797 Guatemala (1992 GO4)","04:59:25.69","+20 45'13.6""","2.0e+4","2.0e+4","2.5e+4","19.4","2.4e+1","-1.2e-1","10797","a0010797"
"10845 (1995 AA1)","04:46:31.38","+14 19'30.4""","8.0e+3","-8.0e+3","1.1e+4","18.6","3.3e+1","-2.0e-1","10845","a0010845"
"10881 (1996 VA5)","04:16:45.69","+15 42'18.0""","-2.0e+4","-3.0e+3","1.8e+4","18.9","5.6e+0","-9.4e+0","10881","a0010881"
"10895 Aynrand (1997 TC18)","04:57:41.78","+22 02'38.3""","2.0e+4","2.0e+4","2.7e+4","17.9","3.1e+1","9.6e+0","10895","a0010895"
"10897 (1997 VW3)","04:45:02.05","+19 09'06.1""","7.0e+3","1.0e+4","1.2e+4","18.1","1.8e+1","2.3e-1","10897","a0010897"
"10910 (1997 YX)","04:53:01.09","+21 17'50.0""","1.0e+4","2.0e+4","2.2e+4","18.8","3.4e+1","2.0e+0","10910","a0010910"
"10941 Mamidala (1999 CD79)","04:26:47.04","+12 58'06.0""","-9.0e+3","-1.0e+4","1.5e+4","18.8","1.1e+1","-5.9e+0","10941","a0010941"
"10995 (1978 NS)","04:45:51.28","+22 09'09.4""","8.0e+3","2.0e+4","2.2e+4","19.3","1.6e+1","3.2e+0","10995","a0010995"
"11008 Ernst (1981 EO7)","04:59:08.41","+13 24'59.8""","2.0e+4","-1.0e+4","2.2e+4","17.9","3.0e+1","-1.6e+1","11008","a0011008"
"11050 Messiaen (1990 TE7)","04:36:31.72","+18 00'53.2""","-2.9e+2","6.0e+3","5.5e+3","18.7","1.5e+1","-6.5e+0","11050","a0011050"
"11107 Hakkoda (1995 UU4)","04:30:56.52","+21 46'42.4""","-5.0e+3","2.0e+4","2.0e+4","17.7","1.4e+1","-4.3e+0","11107","a0011107"
"11134 Ceske Budejovice (1996 XO2)","04:50:49.49","+20 34'15.9""","1.0e+4","1.0e+4","1.9e+4","19.6","1.5e+1","4.5e-1","11134","a0011134"
"11142 Facchini (1997 AP17)","04:11:07.29","+10 37'20.9""","-2.0e+4","-2.0e+4","3.1e+4","19.1","3.5e+0","-1.7e+0","11142","a0011142"
"11228 Botnick (1999 JW49)","04:26:48.67","+16 05'26.7""","-9.0e+3","-1.0e+3","8.8e+3","18.2","3.3e+1","1.5e+0","11228","a0011228"
"11237 (1999 KE15)","04:50:31.96","+18 13'19.3""","1.0e+4","6.0e+3","1.3e+4","18.2","1.9e+1","-2.3e+0","11237","a0011237"
"11239 Marcgraf (4141 P-L)","04:30:28.30","+20 49'40.7""","-6.0e+3","2.0e+4","1.7e+4","17.8","3.0e+1","-3.9e-1","11239","a0011239"
"11296 Denzen (1992 KA)","05:04:56.51","+19 50'14.9""","2.0e+4","1.0e+4","2.7e+4","17.7","3.0e+1","-3.4e+0","11296","a0011296"
"11336 Piranesi (1996 NS3)","04:13:26.10","+17 40'30.7""","-2.0e+4","4.0e+3","2.1e+4","19.2","9.3e+0","-2.9e-1","11336","a0011336"
"11446 Betankur (1978 TO8)","04:14:56.52","+20 59'28.5""","-2.0e+4","2.0e+4","2.5e+4","17.6","1.4e+1","2.6e+0","11446","a0011446"
"11571 Daens (1993 OR8)","04:27:21.00","+17 43'44.1""","-8.0e+3","5.0e+3","9.3e+3","18.5","2.3e+1","1.2e+0","11571","a0011571"
"11591 (1995 FV)","04:21:58.07","+15 19'43.3""","-1.0e+4","-4.0e+3","1.4e+4","19.1","1.2e+1","-3.8e+0","11591","a0011591"
"11675 Billboyle (1998 CP2)","05:02:43.17","+20 42'47.8""","2.0e+4","2.0e+4","2.7e+4","19.3","2.0e+1","2.6e-1","11675","a0011675"
"11694 Esterhuysen (1998 FO70)","04:36:57.76","+17 21'11.3""","8.9e+1","3.0e+3","3.2e+3","18.7","3.0e+1","-1.4e+0","11694","a0011694"
"11703 Glassman (1998 FL121)","05:01:56.66","+20 49'53.8""","2.0e+4","2.0e+4","2.7e+4","19.7","1.8e+1","1.2e+0","11703","a0011703"
"11817 Oguri (1981 EQ34)","04:10:25.99","+14 08'58.2""","-2.0e+4","-8.0e+3","2.4e+4","20.0","4.6e+0","-6.1e+0","11817","a0011817"
"11820 Mikiyasato (1981 EP38)","04:46:45.45","+13 49'59.1""","9.0e+3","-1.0e+4","1.3e+4","19.4","1.5e+1","-9.0e+0","11820","a0011820"
"11974 Yasuhidefujita (1994 YF)","04:13:04.21","+17 56'55.2""","-2.0e+4","5.0e+3","2.1e+4","17.6","1.5e+1","1.7e+0","11974","a0011974"
"11998 Fermilab (1996 AG7)","04:10:18.03","+17 04'38.1""","-2.0e+4","2.0e+3","2.3e+4","18.8","8.9e+0","2.3e+0","11998","a0011998"
"12297 (1991 PT14)","04:09:33.99","+17 04'11.4""","-2.0e+4","2.0e+3","2.4e+4","18.7","1.1e+1","-7.9e-1","12297","a0012297"
"12361 (1993 TB)","04:28:31.99","+18 59'03.2""","-7.0e+3","9.0e+3","1.2e+4","18.8","1.4e+1","2.3e+0","12361","a0012361"
"12362 Mumuryk (1993 TS1)","04:18:38.69","+11 50'00.5""","-2.0e+4","-2.0e+4","2.3e+4","18.1","9.8e+0","-1.3e+1","12362","a0012362"
"12526 de Coninck (1998 HZ147)","04:38:41.34","+21 58'10.1""","2.0e+3","2.0e+4","2.0e+4","20.5","1.0e+1","2.8e+0","12526","a0012526"
"12561 Howard (1998 SX7)","04:34:47.85","+22 10'52.9""","-2.0e+3","2.0e+4","2.1e+4","18.7","7.1e+0","2.2e+0","12561","a0012561"
"12569 (1998 VC29)","04:41:34.20","+16 03'32.6""","4.0e+3","-2.0e+3","4.3e+3","18.1","1.2e+1","-1.8e+0","12569","a0012569"
"12584 Zeljkoandreic (1999 RF36)","04:16:27.24","+21 49'10.8""","-2.0e+4","2.0e+4","2.6e+4","18.5","1.5e+1","1.3e+1","12584","a0012584"
"12620 Simaqian (6335 P-L)","04:09:09.10","+20 07'05.8""","-2.0e+4","1.0e+4","2.7e+4","19.8","9.4e-1","5.4e-2","12620","a0012620"
"12621 Alsufi (6585 P-L)","04:45:30.10","+19 18'24.0""","7.0e+3","1.0e+4","1.3e+4","19.1","1.4e+1","2.4e-1","12621","a0012621"
"12644 Robertwielinga (3285 T-2)","04:32:07.47","+20 18'49.0""","-4.0e+3","1.0e+4","1.4e+4","17.5","3.6e+1","1.2e+1","12644","a0012644"
"12658 Peiraios (1973 SL)","04:33:41.15","+20 21'15.4""","-3.0e+3","1.0e+4","1.4e+4","18.7","2.9e+0","4.4e-1","12658","a0012658"
"12725 (1991 PP16)","04:32:25.17","+14 28'58.8""","-4.0e+3","-7.0e+3","8.1e+3","17.7","2.2e+1","-4.4e+0","12725","a0012725"
"12741 (1992 EU30)","04:13:20.39","+22 11'35.0""","-2.0e+4","2.0e+4","2.9e+4","19.2","1.0e+1","1.8e+0","12741","a0012741"
"12944 (6745 P-L)","05:02:22.99","+20 17'05.1""","2.0e+4","1.0e+4","2.6e+4","19.5","2.2e+1","1.3e+0","12944","a0012944"
"13088 Filipportera (1992 PB1)","04:49:34.86","+12 31'08.9""","1.0e+4","-1.0e+4","1.8e+4","18.4","1.5e+1","-5.3e+0","13088","a0013088"
"13105 (1993 FO27)","04:35:18.73","+23 00'15.9""","-1.0e+3","2.0e+4","2.4e+4","19.8","2.7e+1","3.2e+0","13105","a0013105"
"13142 (1994 YM2)","05:02:51.62","+21 57'13.3""","2.0e+4","2.0e+4","3.0e+4","18.1","2.9e+1","-8.2e+0","13142","a0013142"
"13146 Yuriko (1995 DR2)","04:16:00.55","+16 56'27.6""","-2.0e+4","2.0e+3","1.8e+4","18.9","2.3e+0","2.1e+0","13146","a0013146"
"13184 Augeias (1996 TS49)","04:26:37.97","+20 44'10.6""","-9.0e+3","2.0e+4","1.8e+4","18.7","1.2e+0","-8.9e-1","13184","a0013184"
"13251 Viot (1998 OP)","04:11:41.99","+16 09'24.9""","-2.0e+4","-1.0e+3","2.2e+4","18.6","9.8e+0","-3.6e+0","13251","a0013251"
"13263 (1998 QV22)","04:13:38.69","+22 34'19.4""","-2.0e+4","2.0e+4","2.9e+4","18.6","8.9e+0","4.7e+0","13263","a0013263"
"13305 Danielang (1998 RD54)","04:31:28.31","+21 28'55.7""","-5.0e+3","2.0e+4","1.9e+4","19.7","1.4e+1","-1.2e+0","13305","a0013305"
"13326 Ferri (1998 SH23)","04:42:08.04","+15 16'35.0""","5.0e+3","-4.0e+3","6.3e+3","18.5","8.2e+0","-2.9e+0","13326","a0013326"
"13337 Sampath (1998 SZ114)","04:22:57.26","+20 19'36.5""","-1.0e+4","1.0e+4","1.8e+4","18.7","1.2e+1","2.8e+0","13337","a0013337"
"13341 Kellysweeney (1998 ST123)","04:11:30.94","+13 56'04.2""","-2.0e+4","-9.0e+3","2.4e+4","18.4","1.4e+1","-9.7e+0","13341","a0013341"
"13348 (1998 SF138)","04:25:48.07","+22 12'18.5""","-1.0e+4","2.0e+4","2.3e+4","18.9","3.6e+0","2.1e+0","13348","a0013348"
"13367 Jiri (1998 UT24)","04:34:55.86","+18 27'51.8""","-2.0e+3","7.0e+3","7.3e+3","18.6","6.6e+0","8.0e+0","13367","a0013367"
"13374 (1998 VT10)","04:46:54.78","+22 09'36.5""","9.0e+3","2.0e+4","2.2e+4","18.0","1.7e+1","6.4e+0","13374","a0013374"
"13409 (1999 US)","04:56:24.32","+18 49'13.6""","2.0e+4","8.0e+3","1.9e+4","19.3","1.1e+1","-2.9e-1","13409","a0013409"
"13543 Butler (1992 AO2)","04:33:28.15","+11 28'05.3""","-3.0e+3","-2.0e+4","1.8e+4","18.7","1.3e+1","-3.9e+0","13543","a0013543"
"13568 (1992 WL3)","04:48:50.56","+15 27'49.4""","1.0e+4","-4.0e+3","1.1e+4","17.7","1.4e+1","-8.0e+0","13568","a0013568"
"13616 (1994 XQ4)","04:21:14.01","+18 27'16.2""","-1.0e+4","7.0e+3","1.5e+4","18.6","1.6e+1","4.7e+0","13616","a0013616"
"13653 Priscus (1997 CT16)","04:25:10.68","+15 22'00.1""","-1.0e+4","-4.0e+3","1.1e+4","20.0","1.0e+1","-2.5e+0","13653","a0013653"
"13713 (1998 QN30)","04:58:47.62","+20 13'42.0""","2.0e+4","1.0e+4","2.3e+4","18.9","2.8e+1","8.0e-1","13713","a0013713"
"13747 (1998 SS43)","04:58:04.52","+13 10'13.7""","2.0e+4","-1.0e+4","2.2e+4","19.3","2.4e+1","-1.0e+1","13747","a0013747"
"13753 Jennivirta (1998 SY59)","04:35:21.59","+14 07'41.7""","-1.0e+3","-8.0e+3","8.6e+3","18.9","1.7e+1","-2.4e+0","13753","a0013753"
"13758 (1998 SN74)","04:50:33.71","+18 23'40.8""","1.0e+4","7.0e+3","1.4e+4","18.9","1.8e+1","2.2e+0","13758","a0013758"
"13787 Nagaishi (1998 UN23)","04:30:21.42","+19 45'26.8""","-6.0e+3","1.0e+4","1.3e+4","18.3","1.5e+1","2.6e+0","13787","a0013787"
"13795 (1998 VP20)","04:39:57.09","+19 35'34.5""","3.0e+3","1.0e+4","1.2e+4","19.6","6.1e+0","-1.6e-1","13795","a0013795"
"13820 Schwartz (1999 VQ)","04:19:18.07","+19 58'33.9""","-2.0e+4","1.0e+4","2.0e+4","18.1","1.6e+1","2.1e+0","13820","a0013820"
"13829 (1999 WK18)","04:59:47.13","+20 38'57.8""","2.0e+4","2.0e+4","2.5e+4","19.5","9.4e+0","5.9e-1","13829","a0013829"
"14057 Manfredstoll (1996 AV1)","04:23:24.70","+18 54'54.7""","-1.0e+4","9.0e+3","1.4e+4","20.4","1.0e+1","7.6e-1","14057","a0014057"
"14061 Nagincox (1996 CT7)","04:19:08.62","+19 34'41.6""","-2.0e+4","1.0e+4","1.9e+4","18.1","2.6e+1","-4.0e+0","14061","a0014061"
"14062 Cremaschini (1996 CR8)","04:38:46.73","+23 02'30.6""","2.0e+3","2.0e+4","2.4e+4","19.3","1.8e+1","6.4e+0","14062","a0014062"
"14200 (1998 XY77)","04:21:58.60","+13 06'36.6""","-1.0e+4","-1.0e+4","1.8e+4","17.7","2.0e+1","-6.6e+0","14200","a0014200"
"14222 (1999 WS1)","04:50:10.15","+22 03'18.8""","1.0e+4","2.0e+4","2.3e+4","18.3","1.1e+1","-1.4e+1","14222","a0014222"
"14223 Dolby (1999 XW1)","05:03:46.31","+17 46'15.0""","2.0e+4","5.0e+3","2.4e+4","17.9","4.2e+1","4.1e+0","14223","a0014223"
"14431 (1992 DX8)","04:09:14.36","+18 29'19.4""","-2.0e+4","7.0e+3","2.5e+4","18.8","1.7e+1","5.2e+0","14431","a0014431"
"14564 Heasley (1998 BX13)","04:15:43.64","+15 39'42.7""","-2.0e+4","-3.0e+3","1.9e+4","18.5","3.4e+0","-1.5e+0","14564","a0014564"
"14568 Zanotta (1998 OK)","04:49:40.82","+16 19'41.1""","1.0e+4","-5.3e+2","1.1e+4","19.1","1.8e+1","-5.8e+0","14568","a0014568"
"14620 (1998 UP15)","04:27:02.24","+19 10'08.8""","-8.0e+3","1.0e+4","1.3e+4","19.3","1.6e+1","3.4e+0","14620","a0014620"
"14670 (1999 JG53)","04:19:48.03","+16 02'56.9""","-1.0e+4","-2.0e+3","1.5e+4","18.9","6.0e+0","-4.0e+0","14670","a0014670"
"14681 Estellechurch (1999 XW108)","04:29:16.27","+22 49'57.7""","-7.0e+3","2.0e+4","2.4e+4","19.6","5.9e+0","2.2e+0","14681","a0014681"
"14698 Scottyoung (2000 AT230)","05:03:33.12","+21 34'16.0""","2.0e+4","2.0e+4","2.9e+4","20.3","1.7e+1","1.2e+0","14698","a0014698"
"14743 (2016 P-L)","04:35:16.46","+17 24'18.6""","-1.0e+3","3.0e+3","3.6e+3","18.5","1.4e+1","-5.2e+0","14743","a0014743"
"14770 (2198 T-1)","04:27:15.37","+19 44'31.7""","-8.0e+3","1.0e+4","1.4e+4","19.4","1.3e+1","3.0e+0","14770","a0014770"
"14882 (1991 PP11)","04:22:48.65","+12 57'36.4""","-1.0e+4","-1.0e+4","1.8e+4","18.8","6.4e+0","-9.7e+0","14882","a0014882"
"15028 Soushiyou (1998 UL23)","05:05:02.59","+22 01'15.5""","2.0e+4","2.0e+4","3.1e+4","18.8","3.9e+1","8.7e+0","15028","a0015028"
"15176 (6299 P-L)","04:23:15.30","+12 05'52.5""","-1.0e+4","-2.0e+4","2.0e+4","19.2","1.7e+1","-1.4e+1","15176","a0015176"
"15216 (1981 EX14)","04:43:43.45","+17 16'36.6""","6.0e+3","3.0e+3","6.6e+3","20.7","1.1e+1","-5.8e+0","15216","a0015216"
"15379 Alefranz (1997 QG1)","05:02:10.18","+21 15'55.4""","2.0e+4","2.0e+4","2.8e+4","19.2","2.0e+1","-2.0e+0","15379","a0015379"
"15509 Annejing (1999 TX113)","05:01:13.60","+13 51'41.5""","2.0e+4","-9.0e+3","2.3e+4","18.8","2.2e+1","-1.2e+1","15509","a0015509"
"15697 (1986 QO1)","05:04:53.85","+18 38'03.3""","2.0e+4","8.0e+3","2.5e+4","18.9","1.5e+1","5.0e-1","15697","a0015697"
"15736 Hamanasu (1990 XN)","05:01:32.28","+17 47'58.7""","2.0e+4","5.0e+3","2.2e+4","17.9","3.5e+1","5.5e+0","15736","a0015736"
"15859 (1996 GO18)","04:25:48.19","+19 08'00.4""","-1.0e+4","1.0e+4","1.3e+4","18.8","2.2e+1","-3.0e+0","15859","a0015859"
"15887 Daveclark (1997 ER26)","04:54:47.77","+20 23'36.0""","2.0e+4","1.0e+4","2.1e+4","18.8","2.0e+1","8.0e-1","15887","a0015887"
"15902 Dostal (1997 RA9)","04:29:07.43","+15 56'53.2""","-7.0e+3","-2.0e+3","7.0e+3","18.6","2.7e+1","-5.9e+0","15902","a0015902"
"16091 Malchiodi (1999 TO152)","04:55:22.96","+17 29'55.7""","2.0e+4","4.0e+3","1.6e+4","19.6","1.4e+1","-3.4e+0","16091","a0016091"
"16097 (1999 UE50)","04:29:22.38","+19 27'12.2""","-6.0e+3","1.0e+4","1.2e+4","19.6","1.1e+1","3.0e+0","16097","a0016097"
"16112 Vitaris (1999 XK13)","05:01:55.14","+14 09'22.9""","2.0e+4","-8.0e+3","2.3e+4","19.1","3.0e+1","-4.0e+0","16112","a0016112"
"16124 Timdong (1999 XR85)","05:00:45.34","+21 19'42.0""","2.0e+4","2.0e+4","2.7e+4","19.3","3.1e+1","1.8e+0","16124","a0016124"
"16191 Rubyroe (2000 AO205)","04:21:49.18","+20 54'05.2""","-1.0e+4","2.0e+4","2.0e+4","19.0","2.2e+1","4.7e+0","16191","a0016191"
"16249 Cauchy (2000 HT14)","04:31:14.78","+20 42'14.8""","-5.0e+3","2.0e+4","1.6e+4","19.4","1.1e+1","3.4e+0","16249","a0016249"
"16298 (6529 P-L)","05:00:21.11","+20 13'56.1""","2.0e+4","1.0e+4","2.4e+4","19.8","1.4e+1","8.7e-1","16298","a0016298"
"16329 (3255 T-2)","05:01:28.81","+18 06'41.4""","2.0e+4","6.0e+3","2.2e+4","20.7","1.6e+1","-1.4e+0","16329","a0016329"
"16341 (2182 T-3)","04:56:20.23","+22 53'34.5""","2.0e+4","2.0e+4","2.8e+4","19.8","2.1e+1","1.5e+0","16341","a0016341"
"16463 Nayoro (1990 EK)","04:54:43.52","+15 17'47.0""","2.0e+4","-4.0e+3","1.6e+4","16.9","5.7e+1","-9.6e+0","16463","a0016463"
"16721 (1995 WF3)","04:37:52.40","+19 40'43.6""","8.8e+2","1.0e+4","1.2e+4","18.9","2.3e+1","1.3e+1","16721","a0016721"
"16735 (1996 JJ)","04:26:41.04","+14 02'57.3""","-9.0e+3","-9.0e+3","1.2e+4","19.3","6.6e+0","-2.2e+0","16735","a0016735"
"16821 (1997 VZ4)","04:49:58.06","+21 40'10.9""","1.0e+4","2.0e+4","2.2e+4","18.5","1.9e+1","9.1e+0","16821","a0016821"
"16854 (1997 YL3)","04:41:23.55","+15 23'42.7""","4.0e+3","-4.0e+3","5.5e+3","19.1","1.1e+1","1.2e+0","16854","a0016854"
"16943 (1998 HP42)","04:19:13.55","+11 06'45.1""","-2.0e+4","-2.0e+4","2.5e+4","16.4","2.0e+1","1.1e+1","16943","a0016943"
"16968 (1998 TT5)","04:52:38.09","+21 02'31.8""","1.0e+4","2.0e+4","2.1e+4","18.2","1.6e+1","8.6e+0","16968","a0016968"
"16997 Garrone (1999 CO32)","04:50:27.89","+22 28'46.6""","1.0e+4","2.0e+4","2.4e+4","19.4","1.4e+1","6.3e+0","16997","a0016997"
"17049 Miron (1999 FJ34)","04:33:50.73","+14 49'57.8""","-3.0e+3","-6.0e+3","6.5e+3","19.0","1.8e+1","-1.7e+0","17049","a0017049"
"17302 (4610 P-L)","04:33:32.16","+17 31'36.2""","-3.0e+3","4.0e+3","4.7e+3","18.7","1.9e+1","-3.1e+0","17302","a0017302"
"17326 (4023 T-1)","04:46:58.90","+14 46'09.3""","9.0e+3","-6.0e+3","1.1e+4","18.4","4.6e+1","-8.0e+0","17326","a0017326"
"17465 Inawashiroko (1990 VU3)","04:41:52.81","+20 31'30.4""","4.0e+3","1.0e+4","1.5e+4","19.0","2.0e+1","2.2e+0","17465","a0017465"
"17466 Vargasllosa (1990 VL4)","05:04:40.85","+14 17'11.4""","2.0e+4","-8.0e+3","2.5e+4","18.9","2.8e+1","-9.6e-1","17466","a0017466"
"17534 (1993 FB40)","04:49:02.43","+21 21'13.1""","1.0e+4","2.0e+4","2.0e+4","19.1","1.7e+1","3.3e+0","17534","a0017534"
"17697 Evanchen (1997 EQ41)","04:51:42.77","+11 06'57.3""","1.0e+4","-2.0e+4","2.3e+4","19.0","1.4e+1","-8.6e+0","17697","a0017697"
"17712 Fatherwilliam (1997 WK7)","04:46:09.35","+23 00'29.7""","8.0e+3","2.0e+4","2.5e+4","18.1","2.5e+1","9.3e+0","17712","a0017712"
"17789 Carolcarty (1998 FJ49)","04:53:46.71","+10 38'05.4""","1.0e+4","-2.0e+4","2.6e+4","18.9","1.6e+1","-1.2e+1","17789","a0017789"
"17964 (1999 JY41)","04:09:13.69","+18 34'13.6""","-2.0e+4","8.0e+3","2.5e+4","17.2","3.1e+1","-3.6e+0","17964","a0017964"
"17996 (1999 JQ75)","04:50:01.34","+22 36'02.0""","1.0e+4","2.0e+4","2.5e+4","18.4","2.2e+1","2.3e-1","17996","a0017996"
"18100 Lebreton (2000 LE28)","04:31:32.24","+18 50'34.6""","-5.0e+3","9.0e+3","9.7e+3","19.5","1.3e+1","-2.1e+0","18100","a0018100"
"18122 Forestamartin (2000 NL27)","04:09:18.72","+21 43'36.9""","-2.0e+4","2.0e+4","3.0e+4","17.8","1.2e+1","5.8e+0","18122","a0018122"
"18224 (6726 P-L)","04:30:53.81","+18 18'33.9""","-5.0e+3","7.0e+3","8.4e+3","20.1","1.1e+1","5.3e-1","18224","a0018224"
"18419 (1993 TS20)","04:48:12.35","+19 30'05.0""","1.0e+4","1.0e+4","1.5e+4","19.5","1.7e+1","4.0e-1","18419","a0018419"
"18432 (1994 CJ2)","04:49:10.53","+13 07'33.7""","1.0e+4","-1.0e+4","1.6e+4","19.5","1.3e+1","-3.9e+0","18432","a0018432"
"18457 (1995 EX7)","04:48:28.30","+22 11'48.1""","1.0e+4","2.0e+4","2.3e+4","19.0","1.8e+1","3.4e+0","18457","a0018457"
"18501 Luria (1996 OB)","04:34:04.80","+22 54'54.9""","-2.0e+3","2.0e+4","2.3e+4","19.1","2.0e+1","2.0e+0","18501","a0018501"
"18542 Broglio (1996 YP3)","04:13:12.96","+14 55'41.8""","-2.0e+4","-6.0e+3","2.1e+4","18.7","4.2e+0","7.0e+0","18542","a0018542"
"18600 (1998 BK10)","04:48:22.90","+21 06'53.0""","1.0e+4","2.0e+4","1.9e+4","18.1","2.2e+1","1.0e+1","18600","a0018600"
"18664 Rafaelta (1998 FA43)","04:21:12.61","+21 30'40.6""","-1.0e+4","2.0e+4","2.2e+4","20.6","4.4e+0","9.5e-1","18664","a0018664"
"18674 (1998 FG69)","05:03:37.08","+14 36'16.2""","2.0e+4","-7.0e+3","2.4e+4","18.1","1.6e+1","-8.5e+0","18674","a0018674"
"18796 Acosta (1999 JH64)","04:29:17.62","+19 53'05.2""","-7.0e+3","1.0e+4","1.4e+4","19.9","9.8e+0","4.9e+0","18796","a0018796"
"18803 Hillaryoas (1999 JH77)","04:44:49.28","+15 34'08.5""","7.0e+3","-3.0e+3","7.6e+3","19.1","1.5e+1","-7.3e-1","18803","a0018803"
"18853 (1999 RO92)","04:37:59.76","+17 10'19.7""","9.8e+2","3.0e+3","2.7e+3","18.6","1.6e+1","-1.4e+0","18853","a0018853"
"18965 Lazenby (2000 QR142)","04:50:18.63","+20 15'08.3""","1.0e+4","1.0e+4","1.8e+4","20.0","2.2e+1","3.5e+0","18965","a0018965"
"19055 (1066 T-2)","04:13:29.61","+18 45'10.2""","-2.0e+4","8.0e+3","2.2e+4","19.2","7.8e+0","-2.0e+0","19055","a0019055"
"19112 (1981 EN31)","04:14:13.64","+15 42'06.9""","-2.0e+4","-3.0e+3","2.0e+4","19.3","1.6e+1","-3.5e+0","19112","a0019112"
"19136 Strassmann (1989 AZ6)","04:56:48.16","+16 32'07.9""","2.0e+4","2.2e+2","1.7e+4","19.4","2.5e+1","-1.4e+0","19136","a0019136"
"19144 (1989 UP1)","04:26:55.09","+14 20'40.8""","-9.0e+3","-8.0e+3","1.2e+4","16.6","3.4e+1","8.2e+0","19144","a0019144"
"19150 (1990 HY)","05:01:23.48","+11 42'08.5""","2.0e+4","-2.0e+4","2.7e+4","18.2","1.5e+1","2.3e+0","19150","a0019150"
"19168 (1991 EO5)","05:04:52.95","+10 50'19.7""","2.0e+4","-2.0e+4","3.2e+4","18.3","2.1e+1","-9.2e+0","19168","a0019168"
"19203 (1992 HJ2)","04:11:40.92","+16 42'44.8""","-2.0e+4","8.5e+2","2.2e+4","19.5","1.4e+1","6.8e+0","19203","a0019203"
"19240 (1994 AZ10)","04:21:15.12","+21 06'30.6""","-1.0e+4","2.0e+4","2.1e+4","20.8","6.3e+0","4.3e+0","19240","a0019240"
"19290 Schroeder (1996 JR1)","04:54:01.33","+10 53'27.4""","1.0e+4","-2.0e+4","2.5e+4","18.0","1.5e+1","1.6e+1","19290","a0019290"
"19375 (1998 AB5)","04:45:07.35","+12 42'48.8""","7.0e+3","-1.0e+4","1.5e+4","19.3","1.6e+1","-3.4e+0","19375","a0019375"
"19494 Gerbs (1998 KJ8)","04:25:36.18","+12 52'02.8""","-1.0e+4","-1.0e+4","1.6e+4","18.7","6.5e+0","1.1e+0","19494","a0019494"
"19628 (1999 RD22)","04:40:25.45","+20 06'38.4""","3.0e+3","1.0e+4","1.3e+4","19.0","9.5e+0","1.4e+0","19628","a0019628"
"19660 Danielsteck (1999 RQ129)","05:01:46.86","+12 52'15.7""","2.0e+4","-1.0e+4","2.5e+4","18.8","3.5e+1","-5.6e+0","19660","a0019660"
"19702 (1999 SK23)","04:25:32.09","+20 13'21.7""","-1.0e+4","1.0e+4","1.7e+4","18.0","1.5e+1","8.3e+0","19702","a0019702"
"19744 (2000 AC176)","04:51:52.79","+15 56'57.8""","1.0e+4","-2.0e+3","1.3e+4","18.8","1.2e+1","-5.7e+0","19744","a0019744"
"19855 Borisalexeev (2000 UE6)","04:59:23.04","+17 00'36.8""","2.0e+4","2.0e+3","2.0e+4","19.8","1.6e+1","-6.6e+0","19855","a0019855"
"19919 Pogorelov (1977 TQ6)","04:53:58.98","+21 58'51.5""","1.0e+4","2.0e+4","2.5e+4","17.7","2.1e+1","1.6e+1","19919","a0019919"
"19943 (1981 EB31)","04:42:46.92","+14 53'23.4""","5.0e+3","-6.0e+3","7.7e+3","20.0","1.2e+1","-4.3e+0","19943","a0019943"
"19947 (1981 EE39)","04:50:53.83","+14 33'25.6""","1.0e+4","-7.0e+3","1.4e+4","19.7","1.6e+1","-5.1e+0","19947","a0019947"
"19997 (1990 WM1)","04:10:16.40","+11 35'40.2""","-2.0e+4","-2.0e+4","2.9e+4","18.6","1.3e+1","-5.0e+0","19997","a0019997"
"20012 Ranke (1991 RV4)","04:33:57.88","+22 16'54.9""","-2.0e+3","2.0e+4","2.1e+4","19.0","2.1e+1","1.9e+0","20012","a0020012"
"20034 (1992 PK2)","04:54:05.61","+22 05'43.4""","1.0e+4","2.0e+4","2.5e+4","19.5","8.5e+0","-1.1e+0","20034","a0020034"
"20035 (1992 SA4)","04:52:45.29","+13 57'02.1""","1.0e+4","-9.0e+3","1.7e+4","18.9","2.6e+1","-5.5e+0","20035","a0020035"
"20041 (1992 YH)","04:23:33.93","+11 32'38.3""","-1.0e+4","-2.0e+4","2.1e+4","16.8","2.3e+1","1.2e+1","20041","a0020041"
"20053 (1993 FK29)","04:30:43.36","+13 16'25.9""","-5.0e+3","-1.0e+4","1.3e+4","18.9","2.3e+1","-1.7e+1","20053","a0020053"
"20075 (1994 BX)","04:43:49.93","+18 10'03.3""","6.0e+3","6.0e+3","8.5e+3","19.5","1.7e+1","5.0e+0","20075","a0020075"
"20121 (1995 WT7)","04:12:48.41","+12 57'03.4""","-2.0e+4","-1.0e+4","2.4e+4","18.4","5.4e+0","2.8e+0","20121","a0020121"
"20143 (1996 RQ16)","04:15:01.74","+14 01'00.1""","-2.0e+4","-9.0e+3","2.1e+4","18.0","2.3e+1","-9.1e+0","20143","a0020143"
